IJsselmonde;;;;;;;


Diefstal;;;;;;;
;;buurtprobleem fietsendiefstal;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Groot IJsselmonde;0,8;2,5;3,6;4,8;6,5;
;;Beverwaard;3,4;2,6;6,3;7,2;10,6;
;;IJsselmonde;1,6;2,6;5,1;5,2;7,2;
;;Rotterdam;5,4;5;8,7;10,5;11,1;

;;buurtprobleem lastig gevallen worden op straat;;;;;;
;;% vaak;2006;2007;2008;2009;2011;
;;Oud IJsselmonde;0;2,7;0,5;1,3;2,9;
;;Lombardijen;1,1;4,5;5;3,3;7,3;
;;Groot IJsselmonde;2,3;1,9;5,1;5,2;6,5;
;;Beverwaard;2,8;3,2;6,7;6,4;11,3;
;;IJsselmonde;1,9;2,8;5;4,8;7,3;
;;Rotterdam;3,1;2,6;5,6;6,2;6,4;

;;2.4.1 meldingen burengerucht (relatieproblemen);;;;;;
;;;absoluut;;;;;genormaliseerd
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Oud IJsselmonde;107;123;149;121;107;19,3;22;25,9;20,7;18,4
;;Lombardijen;340;318;306;358;362;24,1;23,3;23,3;27,5;27,2
;;Groot IJsselmonde;581;662;746;763;686;21,8;24,5;27,7;28,4;25,2
;;Beverwaard;371;360;416;358;382;29,8;29,1;34,2;29,4;31,7
;;IJsselmonde;1399;1463;1617;1600;1537;23,8;24,9;27,9;27,6;26,3
;;Rotterdam;15483;15318;16151;16936;16299;26,4;26,3;27,8;29;27,4

;;2.7.1 meldingen overlast;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Oud IJsselmonde;89;59;58;48;50;16;10,5;10,1;8,2;8,6
;;Lombardijen;257;240;190;236;222;18,2;17,6;14,5;18,1;16,7
;;Groot IJsselmonde;681;592;456;344;374;25,5;21,9;16,9;12,8;13,7
;;Beverwaard;263;225;220;237;139;21,2;18,2;18,1;19,5;11,5
;;IJsselmonde;1290;1116;924;865;785;21,9;19;15,9;14,9;13,4
;;Rotterdam;11983;10454;9484;9740;8323;20,4;18;16,3;16,7;14

Schoon en heel;;;;;;;;;;;;

;;buurtprobleem vervuiling op straat;;;;;;;;;;
;;% vaak;2006;2007;2008;2009;2011;;;;;
;;Oud IJsselmonde;17,7;26,2;29,3;24,5;23,2;;;;;
;;Lombardijen;26,5;32,6;35,5;26;32,5;;;;;
;;Groot IJsselmonde;31,6;21,2;27,7;30,2;28,7;;;;;
;;Beverwaard;26,4;36,7;45,7;32,1;40;;;;;
;;IJsselmonde;28;27,6;33,4;29,6;31,3;;;;;
;;Rotterdam;33,8;32,9;36,3;36;33,9;;;;;

;;buurtprobleem hondenpoep op straat;;;;;;;;;;
;;% vaak;2006;2007;2008;2009;2011;;;;;
;;Oud IJsselmonde;36,4;35,6;35,8;31,8;32;;;;;
;;Lombardijen;24,1;33,4;25,6;23,8;27,2
;;Groot IJsselmonde;34,1;25,3;35,3;34,4;32,5
;;Beverwaard;41,7;44,3;55,5;39,6;43,8
;;IJsselmonde;33,4;32,2;37,4;34,6;33,6
;;Rotterdam;38,1;35,9;36,5;35,1;32,4

;;buurtprobleem vuil naast de container;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Oud IJsselmonde;10,8;12,1;12,8;13,3;14,8
;;Lombardijen;14,4;19,9;32,5;29,7;28,3
;;Groot IJsselmonde;14,1;8,1;26,7;21,9;22,2
;;Beverwaard;14,8;25,9;44,7;40;43,8
;;IJsselmonde;14;15;30,4;25,6;27,4
