Feijenoord;;;;;;;


Diefstal;;;;;;;
;;buurtprobleem fietsendiefstal;;;;;
;;Hillesluis;1,1;3,4;0,8;1,2;1,3
;;Katendrecht;2;1,4;0,7;1,4;1,9
;;Afrikaanderwijk;2,4;3,2;0,5;1,8;0,9;;;;;
;;Feijenoord;3,5;2,6;1,7;3;1;;;;;
;;Noordereiland;0,6;0;2,3;1,1;1,2;;;;;
;;Feijenoord;2,3;2,3;1,3;1,8;1,5;;;;;
;;Rotterdam;2;2;2;1,4;1,3;;;;;

;;1.1.1 aangiften woninginbraak;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;12;48;34;55;39;3,5;14;9,9;16;11,3
;;Vreewijk;101;117;93;137;131;15,3;17,8;14,1;20,9;19,9
;;Bloemhof;91;77;118;87;114;16,8;14,2;21,3;15,5;19,9
;;Hillesluis;64;71;66;61;84;14,7;16,7;15,8;14,5;19,2
;;Katendrecht;28;23;18;24;19;16,3;13,9;11,1;14,6;10,1
;;Afrikaanderwijk;78;86;59;68;34;21,7;23,7;16,1;18,8;9,5
